,timestamp,rain,temperature,oil_price,subtotal,transaction_count
200,2023-01-30 12:00:00,0.0,7.7,84.9,2198.80,33
201,2023-01-30 13:00:00,0.0,8.1,84.9,1556.62,31
202,2023-01-30 14:00:00,0.0,8.0,84.9,1181.21,22
203,2023-01-30 15:00:00,0.0,8.4,84.9,1184.16,24
204,2023-01-30 16:00:00,0.0,7.9,84.9,766.98,18
205,2023-01-30 17:00:00,0.0,7.7,84.9,253.88,6
206,2023-01-30 18:00:00,0.0,7.4,84.9,0,0
207,2023-01-31 10:00:00,0.0,7.1,84.49,175.25,5
208,2023-01-31 11:00:00,0.0,7.5,84.49,1015.88,17
209,2023-01-31 12:00:00,0.0,7.6,84.49,909.0,21
210,2023-01-31 13:00:00,0.0,8.1,84.49,1264.79,35
211,2023-01-31 14:00:00,0.0,8.0,84.49,1359.05,28
212,2023-01-31 15:00:00,0.0,7.7,84.49,1113.36,18
213,2023-01-31 16:00:00,0.0,7.2,84.49,580.86,14
214,2023-01-31 17:00:00,0.0,7.5,84.49,756.33,15
215,2023-01-31 18:00:00,0.0,6.4,84.49,0,0
216,2023-02-01 10:00:00,0.0,7.9,82.84,453.30,8
217,2023-02-01 11:00:00,0.0,8.5,82.84,1179.59,29
218,2023-02-01 12:00:00,0.0,9.1,82.84,810.29,21
219,2023-02-01 13:00:00,0.0,9.4,82.84,1705.62,35
220,2023-02-01 14:00:00,0.0,9.7,82.84,1330.42,30
221,2023-02-01 15:00:00,0.0,9.7,82.84,629.33,17
222,2023-02-01 16:00:00,0.0,9.4,82.84,883.05,19
223,2023-02-01 17:00:00,0.0,9.2,82.84,2208.75,27
224,2023-02-01 18:00:00,0.0,9.0,82.84,228,2
225,2023-02-02 10:00:00,0.0,9.4,82.17,449.46,7
226,2023-02-02 11:00:00,0.0,9.3,82.17,1267.53,24
227,2023-02-02 12:00:00,0.0,10.1,82.17,1726.36,38
228,2023-02-02 13:00:00,0.0,10.2,82.17,2561.99,44
229,2023-02-02 14:00:00,0.0,9.8,82.17,1459.71,31
230,2023-02-02 15:00:00,0.0,9.7,82.17,775.72,20
231,2023-02-02 16:00:00,0.0,10.1,82.17,1644.64,27
232,2023-02-02 17:00:00,0.0,10.0,82.17,1146.98,25
233,2023-02-02 18:00:00,0.0,9.5,82.17,74.25,1
234,2023-02-03 10:00:00,0.0,10.0,79.94,272.70,10
235,2023-02-03 11:00:00,0.0,10.6,79.94,1030.52,21
236,2023-02-03 12:00:00,0.0,11.0,79.94,1661.87,31
237,2023-02-03 13:00:00,0.0,11.3,79.94,853.90,24
238,2023-02-03 14:00:00,0.0,11.9,79.94,1268.44,27
239,2023-02-03 15:00:00,0.0,11.4,79.94,2011.29,37
240,2023-02-03 16:00:00,0.0,11.6,79.94,809.94,20
241,2023-02-03 17:00:00,0.0,11.2,79.94,1602.47,28
242,2023-02-03 18:00:00,0.0,9.6,79.94,555.15,4
243,2023-02-04 10:00:00,0.0,8.7,80.99,1087.35,13
244,2023-02-04 11:00:00,0.0,9.4,80.99,1680.51,31
245,2023-02-04 12:00:00,0.0,10.2,80.99,2413.63,37
246,2023-02-04 13:00:00,0.0,10.6,80.99,1616.38,27
247,2023-02-04 14:00:00,0.0,10.8,80.99,878.12,23
248,2023-02-04 15:00:00,0.0,10.0,80.99,829.41,22
249,2023-02-04 16:00:00,0.4,8.8,80.99,504.95,16
250,2023-02-04 17:00:00,0.4,6.7,80.99,935.84,17
251,2023-02-04 18:00:00,0.0,6.0,80.99,82,1
252,2023-02-05 10:00:00,0.0,0.8,80.99,0,0
253,2023-02-05 11:00:00,0.0,2.5,80.99,886.65,14
254,2023-02-05 12:00:00,0.0,4.7,80.99,824.60,28
255,2023-02-05 13:00:00,0.0,6.5,80.99,1585.87,39
256,2023-02-05 14:00:00,0.0,8.6,80.99,1642.28,30
257,2023-02-05 15:00:00,0.0,8.4,80.99,1431.59,32
258,2023-02-05 16:00:00,0.0,7.6,80.99,832.40,19
259,2023-02-05 17:00:00,0.0,6.4,80.99,813.54,18
260,2023-02-05 18:00:00,0.0,5.4,80.99,0,0
261,2023-02-06 10:00:00,0.0,6.9,80.99,0,0
262,2023-02-06 11:00:00,0.0,7.5,80.99,699.63,9
263,2023-02-06 12:00:00,0.0,8.8,80.99,1964.78,41
264,2023-02-06 13:00:00,0.0,9.1,80.99,1209.32,25
