timestamp,temperature,rain
2023-01-30 11:00:00,5.5,0.0
2023-01-30 12:00:00,7.7,0.0
2023-01-30 13:00:00,8.1,0.0
2023-01-30 14:00:00,8.0,0.0
2023-01-30 15:00:00,8.4,0.0
2023-01-30 16:00:00,7.9,0.0
2023-01-30 17:00:00,7.7,0.0
2023-01-30 18:00:00,7.4,0.0
2023-01-31 10:00:00,7.1,0.0
2023-01-31 11:00:00,7.5,0.0
2023-01-31 12:00:00,7.6,0.0
2023-01-31 13:00:00,8.1,0.0
2023-01-31 14:00:00,8.0,0.0
2023-01-31 15:00:00,7.7,0.0
2023-01-31 16:00:00,7.2,0.0
2023-01-31 17:00:00,7.5,0.0
2023-01-31 18:00:00,6.4,0.0
2023-02-01 10:00:00,7.9,0.0
2023-02-01 11:00:00,8.5,0.0
2023-02-01 12:00:00,9.1,0.0
2023-02-01 13:00:00,9.4,0.0
2023-02-01 14:00:00,9.7,0.0
2023-02-01 15:00:00,9.7,0.0
2023-02-01 16:00:00,9.4,0.0
2023-02-01 17:00:00,9.2,0.0
2023-02-01 18:00:00,9.0,0.0
2023-02-02 10:00:00,9.4,0.0
2023-02-02 11:00:00,9.3,0.0
2023-02-02 12:00:00,10.1,0.0
2023-02-02 13:00:00,10.2,0.0
2023-02-02 14:00:00,9.8,0.0
2023-02-02 15:00:00,9.7,0.0
2023-02-02 16:00:00,10.1,0.0
2023-02-02 17:00:00,10.0,0.0
2023-02-02 18:00:00,9.5,0.0
2023-02-03 10:00:00,10.0,0.0
2023-02-03 11:00:00,10.6,0.0
2023-02-03 12:00:00,11.0,0.0
2023-02-03 13:00:00,11.3,0.0
2023-02-03 14:00:00,11.9,0.0
2023-02-03 15:00:00,11.4,0.0
2023-02-03 16:00:00,11.6,0.0
2023-02-03 17:00:00,11.2,0.0
2023-02-03 18:00:00,9.6,0.0
2023-02-04 10:00:00,8.7,0.0
2023-02-04 11:00:00,9.4,0.0
2023-02-04 12:00:00,10.2,0.0
2023-02-04 13:00:00,10.6,0.0
2023-02-04 14:00:00,10.8,0.0
2023-02-04 15:00:00,10.0,0.0
2023-02-04 16:00:00,8.8,0.4
2023-02-04 17:00:00,6.7,0.4
2023-02-04 18:00:00,6.0,0.0
2023-02-05 10:00:00,0.8,0.0
2023-02-05 11:00:00,2.5,0.0
2023-02-05 12:00:00,4.7,0.0
2023-02-05 13:00:00,6.5,0.0
2023-02-05 14:00:00,8.6,0.0
2023-02-05 15:00:00,8.4,0.0
2023-02-05 16:00:00,7.6,0.0
2023-02-05 17:00:00,6.4,0.0
2023-02-05 18:00:00,5.4,0.0
2023-02-06 10:00:00,6.9,0.0
2023-02-06 11:00:00,7.5,0.0
2023-02-06 12:00:00,8.8,0.0
2023-02-06 13:00:00,9.1,0.0
2023-02-06 14:00:00,9.4,0.0
2023-02-06 15:00:00,8.9,0.0
2023-02-06 16:00:00,9.2,0.0
2023-02-06 17:00:00,8.3,0.0
2023-02-06 18:00:00,7.4,0.0
2023-02-07 10:00:00,8.3,0.0
2023-02-07 11:00:00,9.1,0.0
2023-02-07 12:00:00,9.6,0.0
2023-02-07 13:00:00,9.4,0.0
2023-02-07 14:00:00,9.3,0.0
2023-02-07 15:00:00,9.2,0.0
2023-02-07 16:00:00,9.4,0.0
2023-02-07 17:00:00,8.9,0.0
2023-02-07 18:00:00,7.0,0.0
2023-02-08 10:00:00,6.9,0.0
